:START_ID,:END_ID,relation:STRING,:TYPE
0,1,was,RELATION
2,3,was_stored_at,RELATION
3,4,closed_at,RELATION
5,6,looked_at,RELATION
6,7,was_slow,RELATION
8,9,is,RELATION
8,10,kept_turning,RELATION
8,11,saved,RELATION
11,12,was_saved_from,RELATION
5,13,climbed_with,RELATION
5,14,climbed_into,RELATION
13,14,climbed_into,RELATION
5,15,attached,RELATION
13,15,attached,RELATION
15,16,was_attached_to,RELATION
13,17,pushed,RELATION
5,17,took_over_pushing,RELATION
18,19,crossed,RELATION
20,21,could_see,RELATION
22,21,could_see,RELATION
23,20,found,RELATION
23,20,began_towing,RELATION
20,24,was_towed_toward,RELATION
13,5,asked,RELATION
