:START_ID,:END_ID,relation:STRING,:TYPE
0,1,locked_door_of,RELATION
0,2,walked_toward,RELATION
3,4,warned_of,RELATION
5,6,left_before,RELATION
0,7,was_carrying,RELATION
7,8,belonged_to,RELATION
8,0,is_father_of,RELATION
8,9,was,RELATION
0,10,climbed,RELATION
0,11,wound,RELATION
0,12,sat_in,RELATION
0,13,reached,RELATION
14,15,is,RELATION
14,16,struggled_with,RELATION
17,18,experienced,RELATION
19,20,recorded_in,RELATION
14,21,received,RELATION
4,22,would_reach,RELATION
23,24,is,RELATION
25,24,is,RELATION
26,27,is,RELATION
23,28,reported,RELATION
23,29,is_east_of,RELATION
14,30,started,RELATION
31,32,failed,RELATION
33,34,was,RELATION
33,35,experienced,RELATION
36,37,stored_at,RELATION
37,38,has,RELATION
